#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	sample_0	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9
k__Bacteria|p__Firmicutes|c__CFGB1359|o__OFGB1359	0.21322	0.1796079057958144	0.05138	0.10748	0.24148	0.16263	0.15199	0.10757	0.0	0.12518
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	0.20646	0.0	0.0	0.3505	0.0	0.0	0.0	0.0	0.09005	0.0
k__Bacteria|p__Bacteroidetes|c__CFGB35473|o__OFGB35473	0.15406	0.1401246283964735	0.03701	0.03736	0.09291	0.07665	0.05513	0.12718	0.0905	0.05763
k__Bacteria|p__Firmicutes|c__CFGB2833|o__OFGB2833	0.14929	0.0860352721174557	0.01142	0.19484	0.21684	0.0	0.08776	0.12733	0.16376	0.12386
k__Bacteria|p__Firmicutes|c__CFGB1226|o__OFGB1226	0.11471	0.215488480583791	0.23171	0.17092	0.16728	0.10581	0.28233	0.16766	0.06666	0.21501
k__Bacteria|p__Firmicutes|c__CFGB1320|o__OFGB1320	0.05996	0.0	0.0	0.02618	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	0.04993	0.0265369802105361	0.0	0.0	0.0	0.06993	0.03756	0.13098	0.12677	0.01889
k__Bacteria|p__Firmicutes|c__CFGB2875|o__OFGB2875	0.03748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__CFGB74567|o__OFGB74567	0.01764	0.0349725765688523	0.0	0.0	0.0	0.0	0.0	0.03567	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1763|o__OFGB1763	0.005	0.0148794546875854	0.01988	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	21.62755	21.86198051949474	21.73316	21.3191	21.64767	21.553	22.28629	21.41349	21.14606	21.68265
