genome_ID	OTU	NCBI_ID	novelty_category
MAG0309.0	309	2	known_strain
MAG0310.0	310	2	known_strain
MAG0311.0	311	2	known_strain
MAG0312.0	312	2	known_strain
MAG0313.0	313	2	known_strain
MAG0314.0	314	2	known_strain
MAG0315.0	315	2	known_strain
MAG0316.0	316	2	known_strain
MAG0317.0	317	2	known_strain
MAG0318.0	318	2	known_strain
MAG0319.0	319	2	known_strain
MAG0320.0	320	2	known_strain
MAG0321.0	321	2	known_strain
MAG0322.0	322	2	known_strain
MAG0323.0	323	2	known_strain
MAG0324.0	324	2	known_strain
MAG0325.0	325	2	known_strain
MAG0326.0	326	2	known_strain
MAG0327.0	327	2	known_strain
MAG0328.0	328	2	known_strain
MAG0329.0	329	2	known_strain
MAG0330.0	330	2	known_strain
MAG0331.0	331	2	known_strain
MAG0332.0	332	2	known_strain
MAG0333.0	333	2	known_strain
MAG0334.0	334	2	known_strain
MAG0335.0	335	2	known_strain
MAG0336.0	336	2	known_strain
MAG0337.0	337	2	known_strain
MAG0338.0	338	2	known_strain
MAG0339.0	339	2	known_strain
MAG0340.0	340	2	known_strain
MAG0341.0	341	2	known_strain
MAG0342.0	342	2	known_strain
MAG0343.0	343	2	known_strain
MAG0344.0	344	2	known_strain
MAG0345.0	345	2	known_strain
MAG0346.0	346	2	known_strain
MAG0347.0	347	2	known_strain
MAG0348.0	348	2	known_strain
MAG0349.0	349	2	known_strain
MAG0350.0	350	2	known_strain
MAG0351.0	351	2	known_strain
MAG0352.0	352	2	known_strain
MAG0353.0	353	2	known_strain
MAG0354.0	354	2	known_strain
MAG0355.0	355	2	known_strain
MAG0356.0	356	2	known_strain
MAG0357.0	357	2	known_strain
MAG0358.0	358	2	known_strain
MAG0359.0	359	2	known_strain
MAG0360.0	360	2	known_strain
MAG0361.0	361	2	known_strain
MAG0362.0	362	2	known_strain
MAG0363.0	363	2	known_strain
MAG0364.0	364	2	known_strain
MAG0365.0	365	2	known_strain
MAG0366.0	366	2	known_strain
MAG0367.0	367	2	known_strain
MAG0368.0	368	2	known_strain
MAG0369.0	369	2	known_strain
MAG0370.0	370	2	known_strain
MAG0371.0	371	2	known_strain
MAG0372.0	372	2	known_strain
MAG0373.0	373	2	known_strain
MAG0374.0	374	2	known_strain
MAG0375.0	375	2	known_strain
MAG0376.0	376	2	known_strain
MAG0377.0	377	2	known_strain
MAG0378.0	378	2	known_strain
MAG0379.0	379	2	known_strain
MAG0380.0	380	2	known_strain
MAG0381.0	381	2	known_strain
MAG0382.0	382	2	known_strain
MAG0383.0	383	2	known_strain
MAG0384.0	384	2	known_strain
MAG0385.0	385	2	known_strain
MAG0386.0	386	2	known_strain
