#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	sample_0	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	0.0041456201548125	0.0	0.0	0.0	0.0	0.1071	0.0	0.05472	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB75985	0.0040733653372994	0.0	0.0	0.0	0.0	0.0	0.0091	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB76106	0.0026373008392271	0.06486	0.00156	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	17.156608367356824	16.6626	15.02139	28.23097177262936	31.55134	15.62488	28.91412	21.56456	9.03945	28.03387
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	14.622379025312076	9.92522	12.74359	12.446633852307729	7.53659	4.05362	2.4792	13.24575	2.17686	16.47323
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	6.255713718055548	0.0	0.0	0.0	0.00325	0.0	0.0	0.0	0.0	0.01453
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	4.694016156032378	24.44979	5.04216	9.278609238184464	10.96714	5.72685	24.25889	1.59255	1.88207	8.30103
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	3.196724731969921	0.16619	9.49482	0.1717492690683749	0.63289	0.65968	1.17525	0.20497	0.00771	1.05762
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	3.083609815153206	2.38283	9.00711	7.7727914619712095	6.32979	5.05979	8.88524	4.13889	11.28543	3.42853
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2.73457388730412	1.14151	0.0	4.46696981020384	0.55685	0.60951	0.91938	0.56893	0.99419	0.64358
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	2.2685935373101263	0.09505	0.03836	0.1761340091159475	0.27527	1.45579	0.11976	0.05702	2.62217	0.11542
k__Bacteria|p__Firmicutes|c__CFGB2930|o__OFGB2930	2.117355172403077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	1.9022345169622812	0.39434	3.33789	0.3474838401675664	4.46925	1.32527	0.40888	4.116	0.37871	8.55918
k__Bacteria|p__Firmicutes|c__CFGB76782|o__OFGB76782	1.5307183090144412	0.01943	0.0	0.0085243704030447	0.0	0.0	0.0	0.00045	0.0175	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	1.5267984851643568	0.41446	0.5713	0.5239537403430587	0.05438	0.01622	0.60637	0.77414	0.23499	1.64721
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	1.5093760422915172	0.21868	0.08196	0.5037639642233872	4.17276	0.0	0.44084	0.18693	0.05421	0.11184
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	1.268912009608012	1.624	0.0	0.1770418227903931	0.25805	24.0404	3.08804	0.0344	0.03203	0.1684
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB73217|o__OFGB73217	1.265082504279819	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39216
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	1.2439750657138129	0.28094	0.31151	0.8728356135692715	4.67625	2.49345	0.78769	0.62973	0.0864	1.02374
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	1.1325220096998985	0.0	0.0	0.0863058460295491	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Tenericutes|c__CFGB1789|o__OFGB1789	1.114530560139143	0.03937	0.0	0.0437112284245586	0.0	0.0	1.34549	0.0	0.0116	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	1.0513075948152049	0.22733	0.38868	1.2807344537711969	0.53619	0.48098	0.28006	0.7679	0.74315	0.10939
k__Bacteria|p__Firmicutes|c__CFGB1320|o__OFGB1320	0.9753406860523984	0.0	0.04656	0.0	0.0	0.0113	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB75799|o__OFGB75799	0.9273363916671508	0.49646	0.0	0.0	0.0	0.0	0.0	0.0	0.03631	0.0
k__Bacteria|p__Firmicutes|c__CFGB76600|o__OFGB76600	0.8290879035537505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__CFGB76483|o__OFGB76483	0.6741464792491556	0.0	0.0	0.0	0.24594	0.0	0.0	0.0	0.0	0.4357
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	0.6559292333836722	1.22952	12.60018	3.1015726531538403	1.33067	4.88825	1.20445	0.02555	0.42501	0.08744
k__Bacteria|p__Firmicutes|c__CFGB2932|o__OFGB2932	0.6483334456926104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00328	0.0
k__Bacteria|p__Firmicutes|c__CFGB76532|o__OFGB76532	0.6316154872905233	0.0	0.0	0.0	0.01456	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2960|o__OFGB2960	0.5944945747931824	0.0	0.0	0.1472473779950865	0.62611	0.0	0.3702	0.0	0.21848	0.28243
k__Bacteria|p__Firmicutes|c__CFGB31626|o__OFGB31626	0.5860949522572877	0.0	0.0	0.0006990165293231	0.14024	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__CFGB529|o__OFGB529	0.5262498996520852	0.33638	0.0	0.1284374786605723	0.67768	0.0	0.43937	0.0	0.0	0.02375
k__Bacteria|p__Bacteroidetes|c__CFGB2107|o__OFGB2107	0.4876387315435372	0.11033	0.38887	0.0	1.46148	0.04453	1.16579	1.15462	0.05533	0.1245
k__Bacteria|p__Firmicutes|c__CFGB10325|o__OFGB10325	0.4729439080318161	0.0	0.29754	0.0	0.0	0.0	0.06981	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1311|o__OFGB1311	0.4681118671106293	0.0	0.0	0.0	0.0	0.05431	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068	0.4627469469102837	0.2575	0.0	0.0	0.0	0.0	0.0	0.00387	0.00109	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	0.4257615121957797	1.21861	0.08306	0.3548462090673207	0.61176	1.40731	0.49581	0.75087	4.08765	0.71441
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	0.4009781097887959	0.19154	0.0	0.0	0.0	0.05469	0.04093	0.3765	0.15753	0.40677
k__Bacteria|p__Firmicutes|c__CFGB9989|o__OFGB9989	0.3710555834861946	0.0	0.0	0.0	0.0	0.0	0.17168	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB76769|o__OFGB76769	0.3483766026392791	0.0	0.0	0.0	0.0487	0.0	0.0	0.0	0.06113	0.0
k__Bacteria|p__Firmicutes|c__CFGB2898|o__OFGB2898	0.343860676544712	0.0	0.0	0.0186374147363694	0.04058	0.0	0.03014	0.00728	0.00117	0.02207
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	0.3383602785615294	0.04767	0.08049	0.3754081887935149	0.59589	0.0	0.1164	0.01667	0.34239	0.00978
k__Bacteria|p__Bacteroidetes|c__CFGB642|o__OFGB642	0.2813151001349587	0.21097	0.09046	0.2276978258244611	0.27387	0.08703	1.39237	0.11921	0.11835	0.265
k__Bacteria|p__Firmicutes|c__CFGB2947|o__OFGB2947	0.2675415255465292	0.0	0.0	0.0056919917387743	0.07756	0.22413	3.70852	0.0	0.0	0.0
k__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales	0.2293638863430595	0.0	0.0	0.1003043328895012	0.25546	0.0	0.22013	0.0	0.0	0.02037
k__Bacteria|p__Firmicutes|c__CFGB1798|o__OFGB1798	0.2068655425399265	0.0	0.0	0.0	0.02561	0.0	0.76616	0.04306	0.0	0.06021
k__Bacteria|p__Firmicutes|c__CFGB10314|o__OFGB10314	0.1867967669756706	0.0	0.47072	0.0	0.00843	0.02261	0.08116	0.07444	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2985|o__OFGB2985	0.180420279330142	0.0	0.0	0.2770011864836051	0.0	0.0	0.0	0.13358	0.0	0.07097
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	0.1779545836825084	0.99911	0.01819	0.0348509669619689	0.02957	0.0	0.21539	0.07838	1.9707	0.02021
k__Bacteria|p__Firmicutes|c__CFGB31455|o__OFGB31455	0.1690582092762114	0.14622	0.0	0.0	0.13525	0.63279	0.06548	0.0	1.47483	0.23495
k__Bacteria|p__Bacteroidetes|c__CFGB49965|o__OFGB49965	0.1621759379080912	0.0	0.10042	0.0	0.0	0.0	0.04694	0.0	0.0	0.01904
k__Bacteria|p__Bacteroidetes|c__CFGB2397|o__OFGB2397	0.1591683311291095	0.00416	0.03105	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB9583|o__OFGB9583	0.1583012733189527	0.0	0.0	0.0	0.00589	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB76705|o__OFGB76705	0.1440670742688774	0.0	0.0	0.0057736949694744	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB76352|o__OFGB76352	0.1391627785301776	0.17802	0.05533	0.7890444114179368	0.14748	0.3819	0.20298	0.54385	0.0228	0.21989
